iter	Passed	Remaining
410	35059	92895
411	35150	92824
412	35237	92744
413	35396	92850
414	35457	92701
415	35562	92668
416	35649	92586
417	35727	92480
418	35781	92314
419	35858	92208
420	35967	92182
421	36038	92060
422	36115	91953
423	36187	91833
424	36233	91649
425	36337	91610
426	36456	91611
427	36529	91495
428	36620	91423
429	36744	91435
430	36822	91330
431	36894	91211
432	36954	91063
433	36973	90813
434	36990	90563
435	37009	90316
436	37041	90104
437	37089	89929
438	37140	89764
439	37317	89902
440	37482	90008
441	37541	89862
442	37621	89765
443	37724	89722
444	37782	89575
445	37899	89565
446	38027	89581
447	38082	89426
448	38122	89235
449	38245	89238
450	38325	89144
451	38414	89066
452	38516	89021
453	38594	88919
454	38703	88890
455	38850	88946
456	38920	88828
457	39053	88851
458	39139	88766
459	39163	88542
460	39226	88408
461	39308	88316
462	39408	88265
463	39501	88196
464	39604	88151
465	39750	88202
466	39833	88111
467	39885	87952
468	40073	88092
469	40125	87934
470	40192	87808
471	40280	87729
472	40375	87665
473	40449	87556
474	40564	87534
475	40660	87470
476	40755	87406
477	40926	87504
478	40969	87328
479	41044	87218
480	41122	87118
481	41265	87154
482	41323	87011
483	41441	86993
484	41487	86824
485	41543	86676
486	41702	86743
487	41786	86655
488	41925	86679
489	42012	86598
490	42149	86616
491	42194	86446
492	42232	86264
493	42448	86442
494	42489	86266
495	42549	86128
496	42633	86038
497	42709	85934
498	42816	85891
499	42895	85791
500	42992	85727
501	43148	85780
502	43233	85693
503	43284	85539
504	43465	85639
505	43531	85514
506	43661	85514
507	43747	85428
508	43940	85551
509	44007	85426
510	44094	85341
511	44139	85175
512	44280	85194
513	44376	85126
514	44448	85013
515	44583	85020
516	44659	84914
517	44770	84873
518	44864	84801
519	44910	84639
520	44946	84458
521	45097	84492
522	45203	84443
523	45278	84335
524	45372	84264
525	45442	84146
526	45521	84046
527	45617	83977
528	45711	83905
529	45781	83787
530	45852	83673
531	45927	83568
532	46008	83470
533	46059	83320
534	46156	83255
535	46266	83211
536	46346	83113
537	46438	83036
538	46449	82816
539	46471	82615
540	46507	82440
541	46542	82265
542	46575	82085
543	46602	81897
544	46632	81714
545	46663	81533
546	46700	81363
547	46733	81186
548	46789	81051
549	46815	80862
550	46876	80736
551	46910	80562
552	46942	80387
553	46989	80239
554	47024	80068
555	47056	79894
556	47155	79833
557	47282	79820
558	47457	79888
559	47583	79872
560	47663	79779
561	47720	79647
562	47906	79729
563	48185	79967
564	48365	80037
565	48425	79909
566	48470	79757
567	48749	79990
568	48759	79781
569	48838	79683
570	48960	79656
571	49084	79633
572	49250	79678
573	49319	79563
574	49464	79573
575	49510	79423
576	49917	79850
577	49969	79709
578	49989	79517
579	50091	79455
580	50193	79394
581	50280	79308
582	50394	79265
583	50533	79261
584	50633	79195
585	50657	79011
586	50711	78875
587	50819	78822
588	50937	78784
589	50986	78639
590	51037	78499
591	51088	78358
592	51270	78419
593	51347	78318
594	51388	78162
595	51483	78088
596	51556	77981
597	51601	77834
598	51645	77684
599	51832	77749
600	51897	77630
601	51974	77530
602	52096	77496
603	52142	77351
604	52223	77256
605	52292	77144
606	52341	77002
607	52476	76988
608	52538	76866
609	52639	76802
610	52734	76728
611	52901	76758
612	53019	76717
613	53064	76572
614	53132	76458
615	53183	76321
616	53282	76254
617	53363	76158
618	53469	76100
619	53532	75981
620	53573	75831
621	53711	75818
622	53745	75658
623	53785	75505
624	53806	75329
625	53888	75236
626	54093	75316
627	54257	75337
628	54312	75209
629	54359	75067
630	54397	74915
631	54441	74771
632	54594	74776
633	54648	74645
634	54895	74778
635	54951	74650
636	54988	74498
637	55077	74414
638	55177	74347
639	55266	74264
640	55307	74117
641	55356	73981
642	55473	73936
643	55609	73915
644	55742	73890
645	55831	73807
646	55897	73694
647	55975	73597
648	56113	73579
649	56204	73497
650	56249	73358
651	56287	73208
652	56351	73092
653	56559	73163
654	56614	73037
655	56765	73034
656	56846	72939
657	56882	72788
658	56999	72740
659	57102	72676
660	57214	72621
661	57251	72472
662	57372	72429
663	57501	72396
664	57561	72276
665	57641	72181
666	57744	72116
667	57864	72070
668	57922	71949
669	57984	71831
670	58078	71753
671	58140	71637
672	58269	71602
673	58350	71509
674	58419	71401
675	58522	71335
676	58589	71224
677	58666	71126
678	58793	71089
679	58827	70939
680	58933	70875
681	59043	70817
682	59110	70707
683	59216	70644
684	59258	70504
685	59300	70365
686	59342	70225
687	59384	70087
688	59418	69939
689	59618	69986
690	59705	69900
691	59780	69801
692	59928	69786
693	60046	69736
694	60237	69772
695	60292	69648
696	60379	69561
697	60450	69457
698	60500	69329
699	60581	69236
700	60662	69142
701	60773	69084
702	60872	69011
703	60965	68932
704	61016	68806
705	61073	68685
706	61124	68559
707	61174	68432
708	61235	68317
709	61335	68246
710	61392	68127
711	61442	68000
712	61530	67916
713	61637	67852
714	61736	67780
715	61795	67663
716	61866	67561
717	61935	67456
718	61992	67338
719	62047	67218
720	62125	67123
721	62189	67012
722	62253	66903
723	62299	66773
724	62363	66664
725	62432	66560
726	62482	66435
727	62566	66347
728	62675	66286
729	62721	66158
730	62779	66043
731	62838	65928
732	62903	65821
733	62987	65733
734	63061	65635
735	63111	65512
736	63180	65409
737	63275	65333
738	63337	65223
739	63427	65141
740	63498	65041
741	63566	64937
742	63659	64858
743	63746	64774
744	63820	64677
745	63918	64603
746	64004	64518
747	64063	64406
748	64113	64284
749	64195	64195
750	64277	64106
751	64335	63992
752	64423	63909
753	64476	63792
754	64535	63680
755	64607	63582
756	64683	63487
757	64749	63382
758	64816	63279
759	64909	63201
760	64965	63087
761	65025	62976
762	65105	62887
763	65193	62804
764	65283	62723
765	65330	62600
766	65454	62553
767	65500	62430
768	65601	62360
769	65696	62283
770	65740	62159
771	65805	62054
772	65848	61930
773	65912	61825
774	65975	61718
775	66034	61609
776	66097	61504
777	66174	61411
778	66244	61312
779	66297	61197
780	66378	61109
781	66452	61013
782	66528	60920
783	66566	60792
784	66642	60700
785	66697	60588
786	66768	60490
787	66851	60404
788	66983	60361
789	67042	60253
790	67216	60248
791	67280	60144
792	67327	60025
793	67403	59932
794	67461	59824
795	67539	59733
796	67597	59624
797	67664	59524
798	67715	59410
799	67774	59303
800	67830	59193
801	67899	59094
802	67957	58986
803	68006	58871
804	68079	58776
805	68132	58664
806	68182	58550
807	68260	58461
808	68316	58351
809	68383	58252
810	68465	58165
811	68526	58061
812	68600	57968
813	68645	57850
814	68722	57760
815	68775	57649
816	68826	57537
817	68895	57441
818	68966	57346
819	69038	57251
820	69125	57169
821	69184	57064
822	69238	56955
823	69292	56846
824	69346	56738
825	69409	56636
826	69475	56538
827	69530	56430
828	69594	56330
829	69679	56246
830	69738	56143
831	69783	56028
832	69853	55933
833	69911	55828
834	69976	55729
835	70081	55662
836	70130	55551
837	70183	55443
838	70239	55337
839	70300	55235
840	70374	55145
841	70428	55037
842	70506	54949
843	70564	54846
844	70634	54752
845	70700	54654
846	70752	54546
847	70825	54455
848	70923	54383
849	71014	54305
850	71072	54202
851	71158	54120
852	71225	54024
853	71308	53940
854	71366	53838
855	71468	53768
856	71515	53657
857	71587	53565
858	71680	53489
859	71742	53390
860	71821	53303
861	71913	53226
862	71990	53137
863	72067	53049
864	72129	52950
865	72213	52867
866	72274	52767
867	72326	52661
868	72401	52572
869	72441	52457
870	72477	52340
871	72537	52240
872	72585	52132
873	72634	52023
874	72730	51950
875	72793	51852
876	72846	51748
877	72918	51657
878	72986	51563
879	73062	51475
880	73112	51369
881	73182	51277
882	73229	51169
883	73279	51063
884	73343	50967
885	73406	50870
886	73479	50781
887	73558	50695
888	73637	50610
889	73702	50515
890	73763	50417
891	73826	50320
892	73889	50225
893	73984	50150
894	74040	50050
895	74086	49942
896	74139	49839
897	74190	49735
898	74250	49637
899	74309	49539
90900	74400	494690901	74470	493790902	74541	492890903	74636	492090904	74721	49126
905	74793	49036
906	74857	48942
907	74906	48837
908	74969	487490909	75097	486891910	75154	485991911	75346	485791912	75413	484891913	75461	4838914	75489	48264
915	75560	48173
916	75646	48093
917	75726	48009
918	75807	47926
919	75881	47838
920	75955	47750
921	76022	47658
922	76093	47568
923	76177	47487
924	76231	47387
925	76315	47305
926	76367	47204
927	76426	47107
928	76506	47023
929	76578	46935
930	76653	46848
931	76726	46760
932	76818	46683
933	77025	46677
934	77104	46592
935	77159	46493
936	77230	46404
937	77325	46329
938	77385	46233
939	77450	46140
940	77520	46050
941	77598	45966
942	77661	45872
943	77725	45779
944	77832	45711
945	77880	45608
946	77948	45518
947	78030	45435
948	78083	45335
949	78150	45245
950	78207	45148
951	78269	45054
952	78329	44959
953	78405	44873
954	78467	44779
955	78522	44682
956	78598	44596
957	78646	44494
958	78716	44406
959	78772	44309
960	78847	44223
961	78892	44120
962	78974	44038
963	79034	43944
964	79087	43846
965	79131	43743
966	79337	43730
967	79406	43640
968	79493	43561
969	79598	43492
970	79700	43421
971	79863	43382
972	79909	43280
973	79971	43187
974	80048	43102
975	80112	43011
976	80166	42913
977	80217	42815
978	80302	42734
979	80484	42706
980	80553	42617
981	80609	42521
982	80686	42436
983	80747	42343
984	80805	42248
985	80881	42163
986	80950	42074
987	81019	41986
988	81072	41888
989	81144	41801
990	81207	41710
991	81282	41624
992	81322	41521
993	81391	41432
994	81452	41340
995	81502	41242
996	81573	41154
997	81653	41072
998	81737	40991
999	81813	40906
1000	81867	40810
1001	81930	40719
1002	81989	40626
1003	82060	40540
1004	82116	40445
101005	82277	4040101006	82366	4032101007	82416	4022101008	82492	4014101009	82559	4005101010	82608	3995101011	82675	3986101012	82751	3978101013	82808	39681014	82843	39585
1015	82917	39499
1016	82967	39403
1017	83031	39313
1018	83087	39220
1019	83157	39132
101020	83259	3906101021	83390	39002
1022	83462	38916
1023	83559	38842
1024	83614	3874101025	83681	3866101026	83736	3856101027	83832	38491
1028	83906	38406
1029	84038	38347
1030	84136	38273
1031	84172	3817101032	84252	3808101033	84321	3800101034	84537	37980
1035	84592	37886
1036	84653	37796
1037	84720	37708
1038	84806	37628
1039	84874	37540
1040	84941	37452
1041	85005	37363
1042	85054	37267
1043	85115	37177
1044	85201	37097
1045	85262	37006
1046	85319	36914
1047	85369	36819
1048	85430	36729
1049	85502	36644
1050	85555	36550
1051	85606	3645101052	85677	3637101053	85721	3627101054	85800	3619101055	85857	3609101056	85947	3602101057	86028	3594101058	86078	3584101059	86135	3575101060	86202	3566101061	86270	3558101062	86344	3549101063	86400	3540101064	86484	3532101065	86584	3525101066	86680	35175
1067	86728	35081
1068	86784	34990
1069	86854	3490101070	86920	3481101071	86988	3473101072	87067	3464101073	87138	3456101074	87251	34494
1075	87308	34404
1076	87363	34312
1077	87445	34231
1078	87527	34151
1079	87604	34068
1080	87674	33983
1081	87754	33901
1082	87820	33814
1083	87910	33736
1084	87981	33651
1085	88034	33560
1086	88099	33472
1087	88168	33387
1088	88240	33303
1089	88314	33219
1090	88380	33132
1091	88457	33050
1092	88501	32955
1093	88549	32862
1094	88624	32778
1095	88698	32695
1096	88778	32614
1097	88814	32516
1098	88835	3241101099	88903	3232111100	88960	3223111101	89039	3215111102	89089	3206111103	89170	31985
1104	89232	31897
1105	89290	3180111106	89354	3172111107	89426	3163111108	89496	31553
1109	89556	31465
1110	89733	31418
1111	89778	31325
1112	89828	31234
1113	89898	31149
1114	89958	31061
1115	90048	30984
1116	90097	30892
1117	90153	30803
1118	90223	30719
1119	90282	30631
1120	90354	30548
1121	90411	30459
1122	90496	3038111123	90631	30317
1124	90687	30229
1125	90752	30143
1126	90816	30057
1127	90872	29968
1128	90945	29885
1129	90999	29796
1130	91079	29715
1131	91133	29626
1132	91190	29538
1133	91242	29448
1134	91322	29368
1135	91412	29290
1136	91460	29199
1137	91519	29112
1138	91599	29032
1139	91689	28954
1140	91726	2886111141	91802	2877111142	91876	28691143	91918	28604
1144	91987	28520
111145	92107	2845111146	92166	2836111147	92319	28301148	92343	28209
111149	92440	2813111150	92504	2804111151	92569	2796111152	92611	27871153	92656	27780
1154	92749	27704
1155	92808	27617
1156	92892	27538
1157	92962	27455
1158	93035	27372
1159	93103	27289
1160	93181	27208
1161	93253	27125
1162	93307	27037
1163	93376	26953
1164	93438	26868
1165	93492	26781
1166	93564	26698
1167	93626	26613
1168	93709	26533
1169	93781	26451
1170	93830	26362
1171	93890	26276
1172	93961	26193
1173	94019	26107
1174	94070	26019
1175	94131	25934
1176	94199	25850
1177	94258	25764
1178	94293	25672
111179	94395	25591180	94440	25509
1181	94518	25428
1182	94596	25348
1183	94686	25271
1184	94740	25184
1185	94822	25104
1186	94884	25020
1187	94951	24936
1188	95030	24856
1189	95115	24778
1190	95177	24693
1191	95224	24604
1192	95268	24515
1193	95332	24432
1194	95422	24354
1195	95523	24280
1196	95589	24196
1197	95650	24112
1198	95715	24028
1199	95792	23948
1200	95848	23862
1201	95911	23778
1202	95980	23695
1203	96054	23614
1204	96109	23528
1205	96189	23449
1206	96253	23365
1207	96327	23284
1208	96384	23199
1209	96443	23114
1210	96515	23032
1211	96588	22951
1212	96664	22871
1213	96750	22792
1214	96804	22707
1215	96851	22620
1216	96920	22537
1217	96984	22454
1218	97072	22376
1219	97158	22298
1220	97228	22216
1221	97297	22134
1222	97355	22050
1223	97425	21968
1224	97498	21887
1225	97583	21809
1226	97634	21722
1227	97688	21637
1228	97757	21556
1229	97842	21477
1230	97881	21389
1231	97948	21307
1232	98039	21229
1233	98112	21149
1234	98168	21064
1235	98227	20980
1236	98286	20896
1237	98377	20819
1238	98435	20735
1239	98482	20649
1240	98570	20571
1241	98639	20490
1242	98722	20411
1243	98783	20328
1244	98855	20247
1245	98902	20161
1246	98964	20078
1247	99013	19993
1248	99065	19908
1249	99148	19829
1250	99226	19750
1251	99303	19670
1252	99379	19590
1253	99425	19504
1254	99523	19428
1255	99610	19351
1256	99667	19267
1257	99757	19190
1258	99818	19107
1259	99880	19024
1260	99960	18945
1261	100047	18867
1262	100126	18788
1263	100184	18705
1264	100268	18626
1265	100353	18548
1266	100428	18468
1267	100516	18391
1268	100604	18313
1269	100683	18233
1270	100761	18154
1271	100821	18071
1272	100878	17988
1273	100931	17904
1274	101022	17827
1275	101075	17743
1276	101128	17659
1277	101203	17580
1278	101264	17497
1279	101347	17419
1280	101427	17340
1281	101482	17256
1282	101534	17172
1283	101603	17092
1284	101676	17012
1285	101751	16932
1286	101790	16846
1287	101850	16764
1288	101918	16683
1289	101984	16602
1290	102029	16517
1291	102172	16448
1292	102231	16366
1293	102295	16285
1294	102365	16204
1295	102412	16120
1296	102463	16037
1297	102522	15955
1298	102569	15871
1299	102645	15791
1300	102732	15713
1301	102803	15633
1302	102856	15550
1303	102943	15473
1304	103015	15393
1305	103063	15309
1306	103131	15229
1307	103183	15146
1308	103252	15065
1309	103334	14987
1310	103380	14903
1311	103438	14822
1312	103515	14742
1313	103576	14661
1314	103630	14579
1315	103844	14519
1316	103927	14440
1317	104001	14361
1318	104164	14293
1319	104245	14215
1320	104317	14135
1321	104381	14054
1322	104450	13974
1323	104498	13891
1324	104578	13812
1325	104648	13732
1326	104744	13655
1327	104808	13574
1328	104875	13494
1329	104977	13418
1330	105059	13339
1331	105121	13258
1332	105186	13177
1333	105271	13099
1334	105354	13021
1335	105434	12942
1336	105506	12862
